filename,mse,mae,psnr,ssim,lpips,inference_ms
002105.npy,0.005575212650001049,0.0699390321969986,22.537385477198445,0.7814165256307125,0.5222378373146057,139.60949999454897
002954.npy,0.0025513877626508474,0.037913355976343155,25.932235356958543,0.8894554554545618,0.14252592623233795,272.2436000040034
001353.npy,0.0017218124121427536,0.033348239958286285,27.64014176954957,0.7098444572415352,0.4526001214981079,153.07559999928344
000128.npy,0.0023006689734756947,0.04007524251937866,26.381458931426405,0.7664710785731077,0.387289822101593,154.48620000097435
000276.npy,0.0008173079695552588,0.014864505268633366,30.876142478116357,0.9501526849367619,0.07588328421115875,160.3490999987116
000937.npy,0.0015867173206061125,0.03190648928284645,27.99500447778149,0.807650848746676,0.3657669723033905,153.53590001177508
000241.npy,0.009519633837044239,0.09339872747659683,20.213797455962496,0.9478077269889116,0.09616696834564209,151.13189999829046
002584.npy,0.002294133184477687,0.03027219884097576,26.39381368542314,0.8409806501419655,0.17888639867305756,161.28909999679308
002899.npy,0.005751290358603001,0.05717366188764572,22.40234712124665,0.657980595887512,0.2634254992008209,157.30530000291765
000290.npy,0.005293906666338444,0.05493621155619621,22.762237262722167,0.6590046256957631,0.38393089175224304,130.22920000366867
000029.npy,0.003895379602909088,0.0470319502055645,24.094501986254944,0.7624567972296141,0.20656363666057587,165.26609999709763
003168.npy,0.0027493827510625124,0.039795998483896255,25.607647509604476,0.737535953341484,0.36700472235679626,162.54259999550413
002410.npy,0.006669359281659126,0.05388500541448593,21.759158867461966,0.6767346220645867,0.3191346526145935,159.77179999754298
000942.npy,0.0017314210999757051,0.03322374448180199,27.615973027363406,0.9039897613117694,0.18016967177391052,186.52259999362286
002268.npy,0.0030402191914618015,0.038256920874118805,25.170951157933935,0.8476054506965969,0.16836248338222504,132.08250000025146
002409.npy,0.007212325464934111,0.05650091916322708,21.419246860671212,0.671334680949835,0.3040553331375122,164.4901999970898
000086.npy,0.013464595191180706,0.08648603409528732,18.70806701349975,0.7062863351393193,0.27721256017684937,153.08430000732187
001384.npy,0.0175231471657753,0.09398952126502991,17.563879106436822,0.6013169028624832,0.2773117423057556,136.37730000482406
000262.npy,0.0021632846910506487,0.029255706816911697,26.648863138816342,0.827181517537179,0.19639503955841064,140.16179999453016
000920.npy,0.0018551030661910772,0.025469888001680374,27.316319400594253,0.8394621156329513,0.22064311802387238,140.57409999077208
001015.npy,0.008957890793681145,0.08223709464073181,20.477942114682058,0.8545039934605062,0.2222154289484024,156.22500001336448
000495.npy,0.004787560552358627,0.05541563034057617,23.19885746262677,0.26290294136065245,0.8983917236328125,144.84589999483433
001849.npy,0.002906989771872759,0.04548623040318489,25.365565115383628,0.6847602425610423,0.43586599826812744,145.97240000148304
002119.npy,0.010620517656207085,0.07850552350282669,19.738543095088236,0.5606779894978322,0.40060728788375854,146.9412000005832
001794.npy,0.007883901707828045,0.07137431204319,21.032587763269028,0.6034749041486382,0.318941205739975,160.63260000373702
001529.npy,0.0012203985825181007,0.02707093022763729,29.134982785621023,0.6704071129189134,0.4401417076587677,155.8423000096809
003172.npy,0.005510049872100353,0.0652758777141571,22.588444950839556,0.7488893526297686,0.46357452869415283,147.92129999841563
002751.npy,0.002771316794678569,0.03878140449523926,25.573138365351564,0.6651842880113125,0.34183257818222046,150.30350000597537
001634.npy,0.0022150366567075253,0.038141243159770966,26.54619094374569,0.6283018438589573,0.5035008192062378,159.3492999963928
001276.npy,0.0043163965456187725,0.046460673213005066,23.64878666140187,0.7901601805119636,0.21358755230903625,154.33049999410287
002920.npy,0.010920160450041294,0.07488684356212616,19.617710108482314,0.6870397638051641,0.2962169051170349,156.91600000718608
000823.npy,0.00024878777912817895,0.010620130226016045,36.04170939752932,0.8806506194939613,0.15236346423625946,151.40580000297632
002825.npy,0.006432777736335993,0.06242327764630318,21.916014335643965,0.5261426881315174,0.4587026536464691,140.45350000378676
002208.npy,0.008322560228407383,0.07453908026218414,20.79743067071273,0.4674391132364019,0.49593275785446167,160.10110000206623
000867.npy,0.006094175856560469,0.06306430697441101,22.15085004831179,0.2775715941633931,0.8496081829071045,161.678699994809
001733.npy,0.0009267848217859864,0.02038552612066269,30.330211087943443,0.818231835432589,0.29729604721069336,148.41740000701975
002484.npy,0.0006838974077254534,0.018725236877799034,31.65009039103819,0.931009609427452,0.0921291783452034,137.10910000372678
002161.npy,0.0058519416488707066,0.05911970138549805,22.32700028314276,0.6382014427858018,0.34025338292121887,140.4142000101274
001085.npy,0.0007675073575228453,0.01811002567410469,31.149174422043757,0.9126445814256947,0.10876923054456711,160.27069999836385
000676.npy,0.006666993722319603,0.04753376170992851,21.76069967365119,0.831494558467552,0.1432226449251175,142.15359999798238
002251.npy,0.0021527281496673822,0.034969039261341095,26.670108254658555,0.8457873487643115,0.16287174820899963,139.05589999922086
001946.npy,0.003300711279734969,0.0430046021938324,24.813924880979414,0.7920919041107837,0.22466525435447693,147.438100000727
002702.npy,0.0006924716290086508,0.020758312195539474,31.5959800323685,0.8418830195684432,0.27756595611572266,150.0497999950312
000525.npy,0.0018207241082563996,0.034246817231178284,27.39755874112822,0.6518021570776701,0.41587966680526733,162.87169999850448
000515.npy,0.01970311999320984,0.10689608752727509,17.054649990478985,0.5669084865399409,0.29382407665252686,147.29399999487214
002181.npy,0.0033711176365613937,0.048327766358852386,24.722261016697317,0.8404123260275126,0.16285516321659088,146.44070000213105
000283.npy,0.004161294549703598,0.04244077950716019,23.80771540964043,0.8441079550506752,0.23598870635032654,158.30259998620022
001990.npy,0.002641275292262435,0.04193654656410217,25.781863302615843,0.8944501709434837,0.3153742551803589,135.84960000298452
000350.npy,0.0022278116084635258,0.036229610443115234,26.52121513487634,0.7227175755959153,0.18743360042572021,125.1542999962112
003139.npy,0.003995674196630716,0.04273272305727005,23.98409900494929,0.7392691150586335,0.2927613854408264,162.30710000672843
003083.npy,0.002474831650033593,0.03810349479317665,26.064543325528827,0.7512589211675897,0.27478834986686707,149.09970000735484
000986.npy,0.011248622089624405,0.09421835094690323,19.489007079857508,0.8042400540444609,0.312759667634964,155.65899999637622
000237.npy,0.0028083513025194407,0.04023811221122742,25.515485760997983,0.784602847339645,0.2413942515850067,164.70799999660812
000980.npy,0.005381337366998196,0.04970070347189903,22.691097821769475,0.6342902428281159,0.26196932792663574,144.03830000082962
001259.npy,0.0016503690276294947,0.03762237727642059,27.824189401166763,0.9506764133422375,0.18500085175037384,143.40810000430793
001486.npy,0.0025984414387494326,0.03908693045377731,25.852870353711698,0.8971291353629529,0.22154206037521362,165.2721999998903
000458.npy,0.00407895352691412,0.04235202819108963,23.89451249775764,0.6546742563017025,0.3372582793235779,151.93759999237955
000079.npy,0.0006505597848445177,0.01942591741681099,31.867127617556832,0.8086580177234411,0.3291899263858795,148.55670000542887
002001.npy,0.0025763637386262417,0.04015272855758667,25.88992820546259,0.48814928324723245,0.6425215005874634,140.09939999959897
001327.npy,0.0039944821037352085,0.039779238402843475,23.985394984300594,0.7868204424599138,0.2271755337715149,158.96500000962988
002453.npy,0.0030434883665293455,0.042984865605831146,25.166283496781332,0.8352564739564904,0.12836726009845734,156.7726999928709
000002.npy,0.0011149244382977486,0.02504056505858898,29.527545929770383,0.866030743854642,0.16937647759914398,164.1319000045769
002172.npy,0.0033763605169951916,0.03931209817528725,24.715511626785794,0.767704331953466,0.3074924349784851,130.71909999416675
002209.npy,0.004265254363417625,0.0502026341855526,23.700550824343512,0.6510064869325096,0.25871995091438293,131.46389999019448
000661.npy,0.002915698569267988,0.04591255635023117,25.35257362484611,0.7274375780701637,0.3998887538909912,138.96130000648554
001531.npy,0.001340874470770359,0.028468294069170952,28.72611861154931,0.6556822735811472,0.47488969564437866,141.25860000785906
003053.npy,0.0016579629154875875,0.0313689149916172,27.804252019301675,0.7631583346947431,0.29683712124824524,161.33850000915118
003174.npy,0.002148399595171213,0.035442717373371124,26.678849144618148,0.866994036195735,0.2779354751110077,174.6895999967819
002494.npy,0.008037807419896126,0.07024279236793518,20.948624350174224,0.590369893983733,0.3322623670101166,134.18670000100974
003019.npy,0.00264595914632082,0.04152798652648926,25.774168954028504,0.4406400487732887,0.7753232717514038,142.25309999892488
002617.npy,0.002607902279123664,0.030089471489191055,25.83708686577615,0.7922361686566826,0.2159755676984787,146.29520000016782
001222.npy,0.0016989391297101974,0.029147543013095856,27.698221983499337,0.8383581518332959,0.2417832762002945,152.97029999783263
002561.npy,0.003132173093035817,0.03982822597026825,25.04154253268194,0.7629890430934653,0.2745281159877777,143.03449999715667
000435.npy,0.001003000303171575,0.022707007825374603,29.98698969953906,0.7660054120705128,0.30730539560317993,144.53609999327455
002079.npy,0.0030855899676680565,0.04050380736589432,25.106617810891446,0.861176547495544,0.09966467320919037,158.158900012495
000731.npy,0.0023633227683603764,0.03880796954035759,26.26476967786058,0.7672226458162404,0.22828543186187744,162.09369999705814
002050.npy,0.0005233902484178543,0.016116544604301453,32.81174411647169,0.8930285787363053,0.16929180920124054,167.15610001119785
001078.npy,0.002614252967759967,0.038960546255111694,25.826523868844017,0.643667401842475,0.36584582924842834,148.62480000010692
