filename,baseline_mse,baseline_mae,baseline_psnr,baseline_ssim,baseline_lpips,baseline_inference_ms,noise_aware_mse,noise_aware_mae,noise_aware_psnr,noise_aware_ssim,noise_aware_lpips,noise_aware_inference_ms
002494.npy,0.006812650710344315,0.06195478141307831,21.666838618776975,0.6014386812228533,0.28639936447143555,28.196799990837462,0.0066215964034199715,0.06131117790937424,21.790372968267867,0.603924397326531,0.32189518213272095,28.04019999166485
003019.npy,0.0017544880975037813,0.03335699439048767,27.558495651779417,0.4386611253544837,0.8285697102546692,76.06890000170097,0.001626572571694851,0.03220081329345703,27.887265595330668,0.4442489153294563,0.77906334400177,75.47579999663867
002617.npy,0.00212728139013052,0.02725633978843689,26.72175021969833,0.7955045081772013,0.19553080201148987,12.068800002452917,0.002080028411000967,0.026698950678110123,26.81930744059658,0.79947875693856,0.20908737182617188,11.8505999998888
001222.npy,0.0013719131238758564,0.025441549718379974,28.626734016947353,0.8416264736816883,0.22106949985027313,12.03350001014769,0.001297720242291689,0.024785473942756653,28.86818920514754,0.8461466829308272,0.2350700944662094,11.733099992852658
002561.npy,0.0020968078169971704,0.029389867559075356,26.78441345861775,0.7685660816328265,0.2632540166378021,12.00240000616759,0.0020150879863649607,0.028829975053668022,26.957060115674565,0.7739197851680704,0.2663283348083496,11.72249999945052
000435.npy,0.0007716219406574965,0.019722625613212585,31.12595440679144,0.7749251622380018,0.2834291458129883,21.752200002083555,0.0007632147753611207,0.019652212038636208,31.173532093208248,0.7723442614223958,0.3085874915122986,21.505199998500757
002079.npy,0.003072379156947136,0.04019173979759216,25.12525196224744,0.8564300688301325,0.08614663034677505,71.93969999207184,0.0027703428640961647,0.038202665746212006,25.574664485448952,0.8673216715007425,0.09904999285936356,71.11920000170358
000731.npy,0.0012235400499776006,0.025210484862327576,29.123818234743098,0.7673550629662685,0.20712827146053314,73.73740000184625,0.0011577126570045948,0.024485580623149872,29.363992121863973,0.7730086882643923,0.2245924174785614,70.85380000353325
002050.npy,0.00039053079672157764,0.013101676478981972,34.083447062327195,0.8943196398699284,0.14899751543998718,70.98610000684857,0.0003606690443120897,0.012755878269672394,34.42891124508784,0.8994087775416374,0.16518324613571167,38.1438999902457
001078.npy,0.002321151550859213,0.03628237918019295,26.342965039909252,0.6604487816149592,0.31064561009407043,16.68410000274889,0.0021956716664135456,0.03585227578878403,26.584325819504137,0.6574056829346419,0.3607689440250397,16.375899998820387
002947.npy,0.004121930804103613,0.04938217252492905,23.848992991268148,0.688659869703855,0.2738018035888672,16.71619999979157,0.003926343284547329,0.04818831384181976,24.0601172201028,0.7020792120939047,0.3022436499595642,16.3481000054162
002957.npy,0.0024866079911589622,0.03650549054145813,26.043926843354505,0.7042387789119631,0.3472124934196472,16.688200004864484,0.00236629880964756,0.035678036510944366,26.25930433842212,0.7101587357759122,0.35775160789489746,16.344100004062057
000013.npy,0.0036611866671591997,0.030652014538645744,24.36378117486548,0.8486725625365377,0.28396347165107727,27.973799995379522,0.003476758487522602,0.02888038009405136,24.588254559068506,0.8867454129194617,0.2076392024755478,27.520399991772138
001858.npy,0.0004339057777542621,0.01581978052854538,33.62604559418688,0.9034064473609924,0.22127395868301392,32.6480000076117,0.00037851088563911617,0.014759030193090439,34.219216157184015,0.9140648024740219,0.254695326089859,32.26089999952819
000647.npy,0.0032714311964809895,0.043065495789051056,24.85262206945599,0.6039355520179093,0.3276800215244293,29.62190000107512,0.0031120115891098976,0.04200379550457001,25.06958782083381,0.6167911673611709,0.30971571803092957,29.26469998783432
001780.npy,0.0014023487456142902,0.02363421395421028,28.531439536373195,0.7581467985691754,0.36811599135398865,74.70860000466928,0.0013111026491969824,0.02337651699781418,28.823632894488288,0.7785098021264673,0.40871596336364746,73.09089999762364
001202.npy,0.0015032847877591848,0.028022877871990204,28.229587583254506,0.6723640372831905,0.31529664993286133,72.63529999181628,0.0013576680794358253,0.026566974818706512,28.672063869175958,0.6738377069538133,0.32135242223739624,71.62469999457244
