filename,mse,psnr,ssim,lpips,inference_ms
000137.npy,0.0012662788,28.97470650373723,0.7210049105451312,0.3326805531978607,13.745299977017567
000138.npy,0.0013425581,28.72066921971883,0.7159623592788578,0.3459472358226776,13.895699987187982
000139.npy,0.0012730109,28.951678551178368,0.7164681495268493,0.3289187252521515,13.959299976704642
000140.npy,0.0040260083,23.95125338021231,0.7782586524203746,0.16859503090381622,14.070899982471019
000141.npy,0.002846332,25.457144296893382,0.8664877411133051,0.09549824148416519,14.184300001943484
000142.npy,0.0028373697,25.47084071574815,0.8633721772886663,0.0908374935388565,14.239199983421713
000143.npy,0.0031843074,24.96985020436896,0.8446408061847827,0.1076917052268982,14.21320001827553
000144.npy,0.0018943071,27.225496247084475,0.6465535524362959,0.33566445112228394,14.527799998177215
000145.npy,0.0008177758,30.873657360767805,0.5803808322603703,0.5905565023422241,14.510999986669049
000146.npy,0.0008935407,30.4888569886506,0.5734582643659115,0.5777974128723145,14.53459999174811
000147.npy,0.00079391035,31.00228551567391,0.5835913889298439,0.5879751443862915,14.437600009841844
000148.npy,0.0027966108,25.533679436739085,0.7235033751259279,0.24989667534828186,14.545800018822774
000149.npy,0.001387351,28.57813666938638,0.5238347973868847,0.5737259387969971,14.529300009598956
000150.npy,0.0015028145,28.23094615110149,0.5292558098282781,0.5177087187767029,14.648300013504922
000151.npy,0.0014631216,28.34719568264589,0.5274358416953632,0.5315980911254883,14.772299997275695
000152.npy,0.004841186,23.150482060200765,0.602905000268803,0.42843860387802124,14.751800015801564
000153.npy,0.0011349168,29.450359867865856,0.6951097284067274,0.5550525188446045,14.802500023506582
000154.npy,0.0010437078,29.814210446842345,0.7172786388990879,0.4967767298221588,14.976500009652227
000155.npy,0.0011647131,29.337810567304704,0.6968377151769288,0.4791485071182251,15.028800000436604
000156.npy,0.0023608266,26.269358985514234,0.8864025819467529,0.0830613523721695,15.050499991048127
000157.npy,0.0005826155,32.34617938776077,0.9157941129294038,0.11376679688692093,15.198899985989556
000158.npy,0.0005066807,32.952656651059385,0.9256284072849751,0.10485777258872986,15.198500012047589
000159.npy,0.0004690747,33.28757993559925,0.9336907737631798,0.10009105503559113,15.174800006207079
000160.npy,0.0007975453,30.982446593289946,0.8932155825144052,0.11593903601169586,15.412600012496114
000161.npy,0.00089901156,30.462347123212055,0.8937505333867073,0.09136714041233063,15.42800001334399
000162.npy,0.0010215379,29.907454834990883,0.8928324236147486,0.1026710644364357,15.416699985507876
000163.npy,0.00078277336,31.06363967444196,0.9107649369459748,0.09263699501752853,15.707299986388534
000164.npy,0.0028580644,25.43927973267536,0.7120741865328699,0.33098846673965454,15.724800003226846
000165.npy,0.0010539395,29.771843441523256,0.8278869828997404,0.16170978546142578,16.498399985721335
000166.npy,0.0010934282,29.612097132735506,0.8059537689322419,0.17594140768051147,16.12440001918003
000167.npy,0.000931831,30.306628346515964,0.8216839615581595,0.19395241141319275,16.172500007087365
000168.npy,0.003582199,24.458502790977683,0.7491974612229914,0.24306130409240723,16.16300002206117
000169.npy,0.0005346772,32.719083479686624,0.7924626340072155,0.4412740170955658,16.136500024003908
000170.npy,0.0004908389,33.09061035184628,0.8143951783115492,0.40080541372299194,16.70219999505207
000171.npy,0.00031074844,35.07591060938984,0.9048682355618477,0.2488502562046051,16.153200005646795
000172.npy,0.0017074246,27.676584437162933,0.5097638797431588,0.5610509514808655,16.1835000035353
000173.npy,0.00423848,23.727898593173514,0.25603881391808636,0.850078284740448,16.258799994830042
000174.npy,0.0037973188,24.20522936926786,0.2607848948452659,0.8759742975234985,16.17330001317896
000175.npy,0.00396554,24.01697698354825,0.27049336397476864,0.8401143550872803,16.163199994480237
000176.npy,0.0036199233,24.41300625538009,0.6976841412640941,0.2700997591018677,16.41500002006069
000177.npy,0.0023716416,26.249509369059997,0.3627787925026491,0.7394994497299194,16.492900002049282
000178.npy,0.0009462651,30.239871513185562,0.5458277375483512,0.6687861084938049,16.426999995019287
000179.npy,0.0024023075,26.193713853202585,0.33876121780061724,0.7925971150398254,16.46369998343289
000180.npy,0.00022212008,36.5341215566106,0.9260445894041062,0.16986480355262756,16.4589999767486
000181.npy,0.0013607189,28.662316298998434,0.7375351563434303,0.2601834237575531,16.496900003403425
000182.npy,0.0015515285,28.09240257911094,0.7490668260129224,0.23861557245254517,16.753100004279986
000183.npy,0.0015904594,27.984774295504305,0.7401579054804593,0.2293979674577713,16.760700003942475
000184.npy,0.0041463985,23.823289534311645,0.6448021081744395,0.38810282945632935,16.87980000860989
000185.npy,0.0005441539,32.642782402362265,0.906424494355917,0.15096263587474823,16.983200010145083
000186.npy,0.00072838983,31.376361590638137,0.8914170545696766,0.14755624532699585,16.963400004897267
000187.npy,0.00073175586,31.356337762266435,0.8894898639387936,0.14279618859291077,17.059799982234836
000188.npy,0.0032338335,24.902823645956286,0.7455124098964098,0.3068428337574005,16.98200000100769
000189.npy,0.0031080088,25.07517749759101,0.7825334861047604,0.20624816417694092,17.022699990775436
000190.npy,0.0028660118,25.427220301609918,0.786241909486683,0.19768625497817993,16.984600020805374
000191.npy,0.0027416884,25.61981895451387,0.7762073409284651,0.19391117990016937,17.159300012281165
000192.npy,0.0014572217,28.364743628312326,0.9139290389006697,0.18473440408706665,17.156600020825863
000193.npy,0.0016446037,27.839387709008893,0.8949023375787512,0.09391561895608902,17.2696000081487
000194.npy,0.0013441442,28.715541195462386,0.9031759042507727,0.10285911709070206,17.36430000164546
000195.npy,0.0012638611,28.983006554308783,0.9057588798625469,0.1082741767168045,17.27870001923293
000196.npy,0.0034102285,24.672165488546742,0.6903155362151563,0.3019764721393585,17.278899991651997
000197.npy,0.001453297,28.37645624691431,0.7914636514837481,0.2865876257419586,17.337199999019504
000198.npy,0.0016698374,27.773257868316612,0.7658910785999448,0.2705112397670746,17.41050000418909
000199.npy,0.0018384372,27.355512122098013,0.7577172621164154,0.2580134868621826,17.513300001155585
000200.npy,0.0020597964,26.861757268834214,0.38108044597256185,0.8046689629554749,17.700399999739602
000201.npy,0.00067365327,31.715635659535213,0.7129531876361072,0.5253737568855286,17.699499992886558
000202.npy,0.0005320476,32.74049530106433,0.7508254370503425,0.4795388877391815,17.672100017080083
000203.npy,0.00052147266,32.827684531818406,0.7468490822730064,0.47556060552597046,17.85190001828596
000204.npy,0.0034650294,24.602930888193413,0.8599426474723126,0.22376427054405212,17.799699999159202
000205.npy,0.005565782,22.544737705984726,0.7524078397596968,0.2604963183403015,18.04869997431524
000206.npy,0.0073178443,21.35616826422178,0.7114017766633891,0.2682197690010071,18.21810001274571
000207.npy,0.0064005237,21.937845174910613,0.741037084285751,0.2732016146183014,18.174500000895932
000208.npy,0.0006740208,31.71326691279608,0.736377855505228,0.38421958684921265,18.202000006567687
000209.npy,0.0007069005,31.506417333977748,0.744535847885089,0.3897949159145355,18.333899992285296
000210.npy,0.00064476917,31.905957542291503,0.7554582396662235,0.3723073899745941,18.226399988634512
000211.npy,0.000732405,31.352486925959575,0.7359997896882295,0.4063209593296051,18.354400002863258
000212.npy,0.0009752138,30.109001499052308,0.8905439943047883,0.12798897922039032,18.458200007444248
000213.npy,0.00029199736,35.34621089532141,0.9103428318815231,0.19558069109916687,18.54650001041591
000214.npy,0.00019824863,37.02789822845706,0.9350816111726761,0.12182360142469406,18.35710002342239
000215.npy,0.00021651546,36.64511109168832,0.9355605048251152,0.13240748643875122,18.34209999651648
000216.npy,0.0009214084,30.355478281834625,0.8863226011805534,0.15126940608024597,18.658500019228086
000217.npy,0.0010022928,29.99005346233522,0.7999719024357795,0.2663958668708801,18.718200008152053
000218.npy,0.00087985455,30.55589125398531,0.8338171697884798,0.24415922164916992,18.6591999954544
000219.npy,0.0007201511,31.425763789552093,0.8489760025362968,0.2342870831489563,18.89629999641329
000220.npy,0.00044718193,33.49515734616256,0.7883783930511474,0.3547537922859192,18.907499994384125
000221.npy,0.004153461,23.815898525847246,0.6949456471307728,0.2921428978443146,18.867400009185076
000222.npy,0.003173132,24.98511853634637,0.7140322234447952,0.29478251934051514,19.006299989996478
000223.npy,0.005682255,22.45479267072909,0.7734302070544921,0.2262498438358307,19.017399987205863
000224.npy,0.0033713463,24.721966396188613,0.45759136111187937,0.5089185833930969,19.40150000154972
000225.npy,0.0021367217,26.702520078835875,0.4815101522437036,0.5852651000022888,19.470200000796467
000226.npy,0.0029780243,25.260717584513195,0.43407635058563854,0.6299055814743042,19.39719999791123
000227.npy,0.0026557217,25.758174309617573,0.45039098971531166,0.6028145551681519,19.606900023063645
000228.npy,0.012078099,19.180014224863527,0.7899584260740653,0.13900262117385864,19.61789999040775
000229.npy,0.007988388,20.97540855948891,0.7483460536242929,0.2638278007507324,19.65919998474419
000230.npy,0.008391984,20.761353170335596,0.722146843299062,0.30353572964668274,19.75120001588948
000231.npy,0.007168005,21.446016860930108,0.723904295059813,0.2735976576805115,19.743500015465543
000232.npy,0.0065056714,21.867078565536136,0.712606775296757,0.3511715531349182,19.846900017000735
000233.npy,0.0047668656,23.217671086855983,0.6744106134858578,0.35918840765953064,19.90959999966435
000234.npy,0.004547631,23.422148207816974,0.6761960575308352,0.3757714331150055,20.028700004331768
000235.npy,0.004690862,23.287473402028105,0.6788928344287798,0.3725993037223816,19.790599995758384
000236.npy,0.0014142004,28.494890217568376,0.7979575783050582,0.19436877965927124,19.96589999180287
000237.npy,0.0022419249,26.493789289634503,0.7923420744249848,0.23711328208446503,19.88619999610819
000238.npy,0.0021137912,26.749379478260643,0.774780143069705,0.21629829704761505,19.967799977166578
000239.npy,0.0016788053,27.74999672718001,0.7916627937463522,0.2385433167219162,20.110199984628707
000240.npy,0.004462003,23.5047020806299,0.8420803871412277,0.2488829642534256,20.118299988098443
000241.npy,0.00037268054,34.28663300327413,0.9509674907554388,0.08020910620689392,20.167099981335923
000242.npy,0.000321039,34.93442221402584,0.9564392147288322,0.06268278509378433,20.4770999844186
000243.npy,0.0002758932,35.59259043580163,0.9626026331439018,0.052065953612327576,19.834600010653958
000244.npy,0.009802429,20.086662666249705,0.7151064973955676,0.2309742420911789,19.850300013786182
000245.npy,0.0016665407,27.78184051097491,0.9044129936075807,0.2326551377773285,19.908999995095655
000246.npy,0.00232442,26.336853917422193,0.9064862211466134,0.18359021842479706,19.894299999577925
000247.npy,0.0020068258,26.974903149679665,0.9096010877027809,0.1982920616865158,19.850999990012497
000248.npy,0.0014354405,28.430148184069267,0.8345897713078857,0.18603789806365967,19.843799993395805
000249.npy,0.0051095663,22.91615958463826,0.7648229383060038,0.2537837028503418,19.836300023598596
000250.npy,0.006483904,21.881634062349104,0.7388339767957925,0.25304269790649414,19.86850000685081
000251.npy,0.0049526524,23.051621543953868,0.7660276721024514,0.24809128046035767,19.66229997924529
000252.npy,0.0015709137,28.03847642357352,0.7491810519866142,0.3288895785808563,19.692600006237626
000253.npy,0.0009780966,30.096182140302172,0.8530776469127349,0.2153891623020172,19.705800019437447
000254.npy,0.0012252422,29.117781233752545,0.8179861189732477,0.27909329533576965,19.731300009880215
000255.npy,0.0009417102,30.260827345119836,0.854795975445699,0.22638536989688873,19.666399981360883
000256.npy,0.0039514746,24.03240810000298,0.7969760378050454,0.18858766555786133,19.675300020026043
000257.npy,0.007959606,20.991084293463054,0.7429272484765035,0.1778637021780014,19.764900003792718
000258.npy,0.0069644134,21.571154519815344,0.7667371030525221,0.18677188456058502,19.716500013601035
000259.npy,0.006782402,21.686164815094312,0.7821135945056723,0.19564896821975708,19.773100008023903
000260.npy,0.002780139,25.55933517792549,0.7448389363343716,0.2053731083869934,19.83279999694787
000261.npy,0.0012784831,28.93305041475834,0.8317866791210062,0.20337039232254028,19.676399999298155
000262.npy,0.0016108195,27.929531005231848,0.8336161531158583,0.19372177124023438,19.801899994490668
000263.npy,0.001517877,28.18763382000878,0.818104931575846,0.1972084939479828,19.676399999298155
000264.npy,0.0037777284,24.227692766550785,0.7732883223035112,0.32130271196365356,19.714599999133497
