filename,sigma,mse,mae,psnr_db,ssim,inference_ms
002360.npy,0.01,0.008860228583216667,0.0648270696401596,20.525550888199284,0.7348830066183322,11.828400000013062
002338.npy,0.01,0.0023286608047783375,0.03892630338668823,26.328937401670338,0.4429917033228874,11.943099999371043
000541.npy,0.01,0.0009869372006505728,0.02489129826426506,30.05710498767965,0.8541282991886139,11.981499999819789
002978.npy,0.01,0.0013359098229557276,0.025346465408802032,28.74222851246136,0.7554235610700548,12.09489999928337
000877.npy,0.01,0.0003972841950599104,0.01605069637298584,34.0089871263004,0.9186101354074478,18.17769999979646
001988.npy,0.01,0.0032819865737110376,0.055626995861530304,24.838632066981678,0.975379788239479,11.624299999311916
002740.npy,0.01,0.0020493799820542336,0.03695989400148392,26.883775021965036,0.8068551626496315,11.828800000330375
001140.npy,0.01,0.0017907238798215985,0.029108602553606033,27.469713714357347,0.8103414829145018,11.931000000004133
000974.npy,0.01,0.0007325576152652502,0.01840128004550934,31.351582131369998,0.8682683923959732,12.03099999929691
002105.npy,0.01,0.0030208048410713673,0.05164865404367447,25.19877318815091,0.8098908657655716,12.037500000587897
002954.npy,0.01,0.0014616737607866526,0.029086992144584656,28.35149586458989,0.9404357706825733,11.932599999454396
001353.npy,0.01,0.0014413446187973022,0.030670229345560074,28.41232168942524,0.7209699961953163,11.905899999874237
000128.npy,0.01,0.0016263278666883707,0.03428725153207779,27.887918711299914,0.8044450705380439,11.946000000534696
000276.npy,0.01,0.000472733547212556,0.012496551498770714,33.253835795070486,0.9521950633544922,11.945500000365428
000937.npy,0.01,0.001123499358072877,0.026985779404640198,29.494271680223694,0.867079497487545,11.848699999973178
000241.npy,0.01,0.003308168612420559,0.055949222296476364,24.80412392903663,0.9754877783794403,11.843499999486085
002584.npy,0.01,0.0019465095829218626,0.027290120720863342,27.107434756686303,0.8550670066092387,11.96559999971214
002899.npy,0.01,0.0046215057373046875,0.05089550465345383,23.352164588160804,0.6706311953331828,11.807699999735632
000290.npy,0.01,0.004441794008016586,0.05113925039768219,23.52441598610394,0.6767034694442451,11.896200000592216
000029.npy,0.01,0.0026393402367830276,0.039456386119127274,25.785045849157825,0.8077078859534264,12.761100000716397
003168.npy,0.01,0.0018457589903846383,0.03278277814388275,27.33824996680142,0.7477886071249247,11.86370000050374
002410.npy,0.01,0.005784489214420319,0.050373610109090805,22.377350095756313,0.6930648456057981,11.946499999794469
000942.npy,0.01,0.0012641046196222305,0.028749752789735794,28.982169795457597,0.9244630658714771,12.014800000542891
002268.npy,0.01,0.0018657230539247394,0.029931167140603065,27.29152821033818,0.8738143646216542,12.618599999768776
002409.npy,0.01,0.0058828117325901985,0.05074989050626755,22.304150325239096,0.6946883161577583,12.798700000530516
000086.npy,0.01,0.011075519025325775,0.07862664759159088,19.556359253243933,0.7382414552103908,12.760799999341543
001384.npy,0.01,0.014721322804689407,0.08741943538188934,18.320531735643666,0.6245187766063165,12.437999999747262
000262.npy,0.01,0.0014983981382101774,0.02503478154540062,28.243727506310037,0.8480410705960989,12.351800000033109
000920.npy,0.01,0.0014436186756938696,0.023056134581565857,28.405474781885857,0.8639652320965528,12.217399999826739
001015.npy,0.01,0.003484174143522978,0.05153827741742134,24.579001587980848,0.8627836345040091,12.046900000314054
000495.npy,0.01,0.004531565122306347,0.05389103665947914,23.437517773968324,0.2419745599758625,12.021999999888067
001849.npy,0.01,0.0022715008817613125,0.03976006805896759,26.43687076655961,0.6977776259148121,12.409300000399526
002119.npy,0.01,0.00884227640926838,0.07185645401477814,20.534358959937563,0.5752638010825515,13.15599999998085
001794.npy,0.01,0.005550689063966274,0.05830809846520424,22.556530983742885,0.625503166020304,12.371799999527866
001529.npy,0.01,0.0010281747672706842,0.024818016216158867,29.879330895036915,0.6730089799320698,12.061999999787076
003172.npy,0.01,0.0032502850517630577,0.05060547962784767,24.88078575338015,0.7782239917857051,12.836699999752454
002751.npy,0.01,0.002410533372312784,0.03666938096284866,26.178868541695195,0.6894428098843097,12.074100000063481
001634.npy,0.01,0.0018141036853194237,0.034483280032873154,27.41337884549338,0.6390126767909526,11.982199999692966
001276.npy,0.01,0.0033038323745131493,0.03998074680566788,24.809820157047685,0.8197252946597338,11.95720000032452
002920.npy,0.01,0.009269515052437782,0.07004384696483612,20.32942965846714,0.7172017738230303,11.977699999988545
000823.npy,0.01,0.00022407354845199734,0.011278543621301651,36.496094199986636,0.8396503625640869,11.848200000713405
002825.npy,0.01,0.005730387754738331,0.058420270681381226,22.418159986721488,0.5084732502201498,12.129199999435514
002208.npy,0.01,0.007142731919884682,0.0689498633146286,21.46135662179544,0.45007773364053105,12.094499999875552
000867.npy,0.01,0.005833113566040993,0.06163271516561508,22.34099580276064,0.22364310726225375,11.895999999978812
001733.npy,0.01,0.0006124812643975019,0.01698797196149826,32.129072176458486,0.844325254781723,12.160899999798858
002484.npy,0.01,0.00044233264634385705,0.015291506424546242,33.54251007099205,0.955921906829834,11.989399999947636
002161.npy,0.01,0.004514594562351704,0.052641868591308594,23.453812492106053,0.6435289456278086,11.951999999837426
001085.npy,0.01,0.0005648551741614938,0.016157222911715508,32.480628965473684,0.9149436396856307,11.781400000472786
000676.npy,0.01,0.005286029540002346,0.04316553846001625,22.768704033052153,0.8421206799296365,13.368300000365707
002251.npy,0.01,0.0014051829930394888,0.028246384114027023,28.522671199406137,0.8877141011710167,13.688299999557785
001946.npy,0.01,0.0026483661495149136,0.038600753992795944,25.770219864829404,0.8143932980055809,13.746699999501288
002702.npy,0.01,0.0005181998712942004,0.018023014068603516,32.85502657981774,0.8565926025648117,13.677500000085274
000525.npy,0.01,0.001341952127404511,0.029904985800385475,28.72262986687621,0.6767577790427208,13.8466000007611
000515.npy,0.01,0.01581200212240219,0.09731407463550568,18.010131146192265,0.5908418972761766,13.831700000082492
002181.npy,0.01,0.0022562022786587477,0.04027111083269119,26.466219679063443,0.8656245226631164,16.751899999690067
000283.npy,0.01,0.002810673089697957,0.03549502044916153,25.511896716078066,0.8714681777734673,16.75410000007105
001990.npy,0.01,0.001323153031989932,0.031421080231666565,28.783899111662848,0.9720015077667237,16.758199999458157
000350.npy,0.01,0.0019329265924170613,0.03378966078162193,27.137846491704497,0.7264380823178291,16.81430000007822
003139.npy,0.01,0.003135689999908209,0.03826528042554855,25.036668505244233,0.7719300692978837,19.038000000364264
003083.npy,0.01,0.0017394800670444965,0.03201751410961151,27.59580547671854,0.8105685790505112,20.03340000010212
000986.npy,0.01,0.0038930268492549658,0.05505680292844772,24.097126202869124,0.8244750988250896,20.022599999720114
000237.npy,0.01,0.0020635859109461308,0.03433505445718765,26.85377392248677,0.8133194775793552,20.097000000532717
000980.npy,0.01,0.004530991427600384,0.046299777925014496,23.438067573522474,0.6625048563697338,21.046400000159338
001259.npy,0.01,0.0013408055528998375,0.03455043211579323,28.726342060346802,0.9755885666790008,22.892899999533256
001486.npy,0.01,0.0015360477846115828,0.030880490317940712,28.135952954065434,0.940732172872901,22.995000000264554
000458.npy,0.01,0.0032948385924100876,0.03847117722034454,24.821658776475402,0.6561944956690334,22.99270000003162
000079.npy,0.01,0.0004847214440815151,0.016852881759405136,33.14507745559413,0.839106388431549,24.274100000184262
002001.npy,0.01,0.0023215902037918568,0.03789190202951431,26.342144203572516,0.4846462011013031,24.40859999933309
001327.npy,0.01,0.003297839779406786,0.035619545727968216,24.81770445986994,0.8108904172785543,24.3929999996908
002453.npy,0.01,0.0015804984141141176,0.031492769718170166,28.012059531389617,0.8951030540807248,25.168000000121538
000002.npy,0.01,0.0007721559377387166,0.021132100373506546,31.12294996964132,0.8918126556873321,25.600500000109605
002172.npy,0.01,0.00263907085172832,0.034692443907260895,25.785489219546903,0.7849227379209847,25.741200000084064
002209.npy,0.01,0.0033826048020273447,0.04512512683868408,24.70748741494766,0.6499063605154455,25.828599999840662
000661.npy,0.01,0.002137262374162674,0.03920026123523712,26.701421569974407,0.7437442349448204,26.199900000392518
001531.npy,0.01,0.0011371143627911806,0.026366598904132843,29.44195827293168,0.6576391435427665,26.157500000408618
003053.npy,0.01,0.0012875302927568555,0.027806703001260757,28.90242549258644,0.7732446275961399,26.25339999940479
003174.npy,0.01,0.0014981904532760382,0.02964632585644722,28.24433009577298,0.9151339283937215,26.501399999688147
002494.npy,0.01,0.006181734148412943,0.06231175363063812,22.088896520529453,0.6007802804728747,26.462099999662314
003019.npy,0.01,0.002256174571812153,0.0383455716073513,26.466273306237994,0.4395561625699997,26.48449999924196
002617.npy,0.01,0.0023288936354219913,0.02912571281194687,26.32850336316168,0.7774295859827995,26.45840000059252
001222.npy,0.01,0.0013713976368308067,0.0256991907954216,28.62836576277017,0.8553713868055344,26.633200000105717
002561.npy,0.01,0.0023796255700290203,0.03518422693014145,26.234913602376437,0.7828392969942987,26.55019999929209
000435.npy,0.01,0.0008806413970887661,0.021003611385822296,30.552009074659562,0.7630768887751103,26.582200000120793
002079.npy,0.01,0.0018604935612529516,0.03153955936431885,27.303718420440145,0.9022852918906212,26.703000000452448
000731.npy,0.01,0.0018401157576590776,0.03420629724860191,27.35154877929196,0.7843420292618275,26.76470000005793
002050.npy,0.01,0.00041131669422611594,0.013893719762563705,33.85823679659581,0.9054986192851067,26.474700000107987
001078.npy,0.01,0.0022916554007679224,0.03683090955018997,26.398506684090396,0.6353576996068955,26.490100000046368
002947.npy,0.01,0.0035602739080786705,0.045361705124378204,24.48516580653681,0.7005150939747095,26.458199999979115
002957.npy,0.01,0.002498588291928172,0.036683589220047,26.02305290698572,0.7014981227211728,26.188599999841244
000013.npy,0.01,0.005246810149401426,0.06120971217751503,22.801046388904158,0.9225039738237858,26.193099999545666
001858.npy,0.01,0.0021262038499116898,0.039865583181381226,26.72395107769223,0.9265184331965447,26.16459999990184
000647.npy,0.01,0.003747104899957776,0.04860254004597664,24.263041272578782,0.6097509893223997,25.951599999643804
001780.npy,0.01,0.004187274724245071,0.061317235231399536,23.780685775800844,0.7994802675251961,25.99880000070698
001202.npy,0.01,0.002065303735435009,0.0326237827539444,26.8501607965915,0.6673564747452736,26.14940000057686
003198.npy,0.01,0.0018650805577635765,0.0258057601749897,27.293024022674572,0.8209726355316862,25.97220000006928
003159.npy,0.01,0.002314220182597637,0.038714706897735596,26.355953401633215,0.4283657755036354,25.85429999999178
002625.npy,0.01,0.0036988991778343916,0.049204252660274506,24.319274739146195,0.4384881818546057,25.839199999609264
001092.npy,0.01,0.002496744506061077,0.03508288413286209,26.026259270069808,0.8657996330920197,25.816599999416212
002199.npy,0.01,0.0003863719175569713,0.013573219068348408,34.12994433509822,0.8998231717743873,25.559899999279878
002792.npy,0.01,0.0027874356601387262,0.04797757416963577,25.54795157935136,0.8691072800529003,25.57249999972555
000469.npy,0.01,0.004194352310150862,0.04448487609624863,23.773350784435646,0.6397207070200145,25.53189999980532
002952.npy,0.01,0.002704389626160264,0.034461408853530884,25.679307403118344,0.8213205584957302,25.32679999967513
002786.npy,0.01,0.002263628412038088,0.03770041465759277,26.451948803570986,0.7969539801148177,25.34190000005765
000047.npy,0.01,0.004424872808158398,0.05101894959807396,23.540991958564632,0.6997154515390396,25.210100000549573
002266.npy,0.01,0.001596722868271172,0.02031395584344864,27.967704576462523,0.9200361510623842,24.718599999687285
001029.npy,0.01,0.002180982381105423,0.04214215278625488,26.613478549095717,0.8717186632053852,24.623500000416243
002167.npy,0.01,0.0018380206311121583,0.038083404302597046,27.356496206923854,0.8626391757202149,24.75959999992483
001917.npy,0.01,0.0024730656296014786,0.03474043682217598,26.067643347416993,0.7469469860284328,24.642299999868555
002440.npy,0.01,0.0016978878993541002,0.03299228101968765,27.700910032597385,0.8713502311880589,24.576799999522336
001563.npy,0.01,0.002997823990881443,0.04254471883177757,25.231938550368017,0.8869347807836533,24.530699999559147
001576.npy,0.01,0.0023831515572965145,0.0360068678855896,26.228483663798606,0.8025219203775551,24.487499999850115
000260.npy,0.01,0.002362305298447609,0.03335443139076233,26.26663927793676,0.7633805536046028,24.059000000306696
002442.npy,0.01,0.0011156841646879911,0.02546287514269352,29.524587630542353,0.8903235937166214,23.99429999968561
001729.npy,0.01,0.010914670303463936,0.08186446130275726,19.619893997639352,0.6028940491144061,24.18740000030084
002787.npy,0.01,0.0020459219813346863,0.035644710063934326,26.891109206152457,0.7924626603105068,24.09700000043813
